Solar,Wind
0.45241565,0.44663116
0.4124217,0.51687914
0.30333608,0.5311856
0.21804893,0.49125698
0.11673178,0.35421166
0.037436575,0.104793884
1.74E-05,0.06795283
0,0.059029054
0,0.057232976
0,0.07540805
0,0.185391
0,0.30584693
0,0.3858968
0,0.42613867
0,0.45850235
0,0.5220292
0,0.5665853
0,0.54349554
0,0.6392386
0.002092089,0.7146589
0.09430384,0.8601786
0.26143646,0.8574041
0.40769994,0.8456328
0.50833595,0.79295504
0.55487037,0.82597715
0.54886657,0.8519322
0.4875613,0.84049875
0.370241,0.76988626
0.21628797,0.6608783
0.061780874,0.5041262
5.22E-05,0.42479935
0,0.400228
0,0.47212806
0,0.5574122
0,0.56151074
0,0.4899603
0,0.41320693
0,0.37677994
0,0.33427003
0,0.22834653
0,0.10998837
0,0.036806807
0,0.024997974
0.002199743,0.034673717
0.07384674,0.072535396
0.20131984,0.084441066
0.35666972,0.15574501
0.43039876,0.2103625
0.4658929,0.13256986
0.40898153,0.055083107
0.30793613,0.012773991
0.25424466,0
0.13319443,0
0.04843218,0
0.000119954,0.12701754
0,0.5705341
0,0.80317307
0,0.87808067
0,0.83435607
0,0.79642254
0,0.90616035
0,0.94538957
0,0.94069827
0,0.96964765
0,0.9905729
0,1
0,1
0.002227829,1
0.06215853,1
0.13327159,1
0.3125228,0.89684397
0.42199075,1
0.4657284,1
0.5041013,0.91868865
0.43458351,0.92766863
0.35638002,0.9852157
0.24392515,1
0.07569472,0.94214815
0.00027463,0.93716955
0,0.96030194
0,0.89393127
0,0.8393217
0,0.7560227
0,0.67305344
0,0.6409641
0,0.67677915
0,0.69130135
0,0.6267495
0,0.6093675
0,0.5730457
0,0.55957806
0.003849613,0.5617957
0.111120686,0.3905396
0.283213,0.26295587
0.4318127,0.17878583
0.53356487,0.10896808
0.57280815,0.07087839
0.5566643,0.03176384
0.49865973,0.009247506
0.39246142,0.026813257
0.24004635,0.067600876
0.07566892,0.11047478
0.000424291,0.20992924
0,0.16740327
0,0.0965367
0,0.08093824
0,0.053178478
